기준년월,지역코드,통합시군구코드,지원센터코드,이용자구분코드,이용자분류코드,행복e음대상자여부,이용금액,이용건수,이용자수
201701,부산,03000008,S03301,긴급지원대상자,결식아동,N,144582.91,37,3
201701,부산,03000009,S03401,차상위계층,한부모가정,N,202304.67,51,8
201701,부산,03000009,S03401,저소득층,한부모가정,N,1092755.98,180,16
201701,부산,03000009,S03401,저소득층,결식아동,N,1043162.09,201,19
201701,부산,03000009,S03401,차상위계층,다문화가정,N,3386.36,3,1
201701,부산,03000009,S03401,차상위계층,결식아동,N,786749.72,88,10
201701,부산,03000009,S03401,기초생활보장수급자,한부모가정,N,884805.73,106,14
201701,부산,03000009,S03401,기초생활보장수급자,다문화가정,N,134539.31,39,10
201701,부산,03000009,S03401,기초생활보장수급자,결식아동,N,466136.17,87,12
201701,부산,03000009,S03401,긴급지원대상자,기타,N,600829.94,183,33
201701,부산,03000009,S03401,긴급지원대상자,결식아동,N,20059.02,4,1
201701,부산,03000011,S03601,기초생활보장수급탈락자,저소득가정,N,73708.94,14,2
201701,부산,03000011,S03601,기초생활보장수급탈락자,한부모가정,N,40697.86,6,1
201701,부산,03000011,S03601,저소득층,기타,N,124761.04,29,4
201701,부산,03000011,S03601,긴급지원대상자,저소득가정,N,382082.86,11,1
201701,부산,03000011,S03601,긴급지원대상자,기타,N,109948.23,19,2
201701,부산,03000011,S03601,기초생활보장수급자,재가장애인,N,219309.56,14,1
201701,부산,03000011,S03601,차상위계층,저소득가정,N,196079.66,16,4
201701,부산,03000011,S03601,차상위계층,한부모가정,N,245190.36,22,2
201701,부산,03000011,S03601,차상위계층,기타,N,35982.7,6,1
201701,부산,03000011,S03601,저소득층,재가장애인,N,205267.09,14,1
201701,부산,03000011,S03601,저소득층,저소득가정,N,685735.83,24,2
201701,부산,03000011,S03601,저소득층,한부모가정,N,293508.12,15,3
201701,부산,03000012,S03701,차상위계층,소년소녀가장,N,221722.48,12,1
201701,부산,03000012,S03701,차상위계층,저소득가정,N,198586.21,52,3
201701,부산,03000012,S03701,차상위계층,한부모가정,N,771046.75,58,5
201701,부산,03000012,S03701,차상위계층,기타,N,4588489.35,620,32
201701,부산,03000012,S03701,저소득층,결식아동,N,462053.4,87,9
201701,부산,03000012,S03701,저소득층,다문화가정,N,1233223.57,280,39
201701,부산,03000012,S03701,저소득층,독거어르신,N,2681062.7,427,20
201701,부산,03000012,S03701,저소득층,재가장애인,N,128162.26,19,1
201701,부산,03000012,S03701,저소득층,저소득가정,N,2413686.7,205,13
201701,부산,03000012,S03701,저소득층,한부모가정,N,325748,30,4
201701,부산,03000012,S03701,저소득층,기타,N,2572492.06,249,29
201701,부산,03000012,S03701,차상위계층,다문화가정,N,27820.2,6,1
201701,부산,03000012,S03701,차상위계층,결식아동,N,58843.19,16,1
201701,부산,03000012,S03701,긴급지원대상자,한부모가정,N,126009.62,32,2
201701,부산,03000012,S03701,긴급지원대상자,저소득가정,N,283518.41,35,2
201701,부산,03000012,S03701,긴급지원대상자,소년소녀가장,N,90272.97,8,2
201701,부산,03000012,S03701,긴급지원대상자,다문화가정,N,228535.26,49,4
201701,부산,03000012,S03701,긴급지원대상자,결식아동,N,778255.94,131,11
201701,부산,03000014,S03901,저소득층,독거어르신,N,3387058.43,429,108
201701,부산,03000014,S03901,기초생활보장수급자,저소득가정,N,7366.02,1,1
201701,부산,03000014,S03901,기초생활보장수급자,한부모가정,N,26764.03,3,1
201701,부산,03000014,S03901,차상위계층,독거어르신,N,143566.27,21,6
201701,부산,03000014,S03901,차상위계층,저소득가정,N,22231.43,3,1
201701,부산,03000014,S03901,기초생활보장수급탈락자,독거어르신,N,736411.01,106,27
201701,부산,03000014,S03901,긴급지원대상자,독거어르신,N,96994.45,13,3
201701,부산,03000014,S03901,기초생활보장수급자,독거어르신,N,474597.9,60,16
201701,부산,03000100,S04101,기초생활보장수급자,독거어르신,N,105333.8,6,6
201701,부산,03000100,S04101,차상위계층,독거어르신,N,11909.1,1,1
201701,부산,03000100,S04101,차상위계층,저소득가정,N,95200,2,2
201701,부산,03000100,S04101,저소득층,저소득가정,N,80020.03,5,5
201701,부산,03000100,S04101,기초생활보장수급자,저소득가정,N,358037.26,22,22
201701,부산,03000006,S40001,기초생활보장수급자,결식아동,N,130175.1,32,11
201701,부산,03000006,S40001,긴급지원대상자,결식아동,N,6127.73,1,1
201701,부산,03000006,S40001,긴급지원대상자,독거어르신,N,32311.28,4,1
201701,부산,03000006,S40001,긴급지원대상자,재가장애인,N,94921.73,4,1
201701,부산,03000006,S40001,긴급지원대상자,저소득가정,N,224974.72,12,4
201701,부산,03000006,S40001,긴급지원대상자,한부모가정,N,8543.39,3,1
201701,부산,03000006,S40001,긴급지원대상자,기타,N,22564.2,6,2
201701,부산,03000006,S40001,기초생활보장수급자,독거어르신,N,4673474.71,428,154
201701,부산,03000006,S40001,기초생활보장수급자,소년소녀가장,N,46061.72,12,4
201701,부산,03000006,S40001,기초생활보장수급자,재가장애인,N,2048673.65,186,68
201701,부산,03000006,S40001,기초생활보장수급자,저소득가정,N,2990339.39,191,72
201701,부산,03000006,S40001,기초생활보장수급자,조손가정,N,6899.31,2,1
201701,부산,03000006,S40001,기초생활보장수급자,한부모가정,N,1994789.73,160,65
201701,부산,03000006,S40001,기초생활보장수급자,기타,N,251277.38,11,4
201701,부산,03000006,S40001,기초생활보장수급자,청장년1인가구,Y,126450,4,1
201701,부산,03000006,S40001,기초생활보장수급자,청장년1인가구,N,30652.37,9,2
201701,부산,03000006,S40001,차상위계층,결식아동,N,19855.96,3,1
201701,부산,03000006,S40001,차상위계층,독거어르신,N,302212.95,27,12
201701,부산,03000006,S40001,차상위계층,재가장애인,N,115772.3,20,8
201701,부산,03000006,S40001,차상위계층,저소득가정,N,44636.95,5,2
201701,부산,03000006,S40001,차상위계층,한부모가정,N,1260601.11,64,21
201701,부산,03000006,S40001,차상위계층,기타,N,13530.6,5,2
201701,부산,03000006,S40001,저소득층,결식아동,N,95322.6,4,1
201701,부산,03000006,S40001,저소득층,독거어르신,N,225387.14,7,3
201701,부산,03000006,S40001,저소득층,저소득가정,N,495844.45,4,1
201701,부산,03000006,S40001,기초생활보장수급탈락자,독거어르신,N,149313.98,14,5
201701,부산,03000006,S40001,기초생활보장수급탈락자,한부모가정,N,18613.05,2,1
201701,부산,03000008,S40101,기초생활보장수급자,한부모가정,N,560341.71,21,21
201701,부산,03000008,S40101,기초생활보장수급자,저소득가정,N,1537786.49,60,57
201701,부산,03000008,S40101,기초생활보장수급자,재가장애인,N,1476972.78,72,55
201701,부산,03000008,S40101,기초생활보장수급자,독거어르신,N,2465158.8,109,92
201701,부산,03000008,S40101,기초생활보장수급자,독거어르신,Y,28620.9,1,1
201701,부산,03000008,S40101,기초생활보장수급자,결식아동,N,25770.14,1,1
201701,부산,03000008,S40101,긴급지원대상자,기타,N,394806.3,18,15
201701,부산,03000008,S40101,긴급지원대상자,한부모가정,N,261269.8,10,8
201701,부산,03000008,S40101,긴급지원대상자,저소득가정,N,280289.14,13,11
201701,부산,03000008,S40101,긴급지원대상자,재가장애인,N,291135.81,11,10
201701,부산,03000008,S40101,긴급지원대상자,독거어르신,N,825794.22,33,31
201701,부산,03000008,S40101,긴급지원대상자,결식아동,N,243840.7,9,9
201701,부산,03000008,S40101,저소득층,기타,N,82528.11,3,3
201701,부산,03000008,S40101,저소득층,재가장애인,N,25167.56,1,1
201701,부산,03000008,S40101,저소득층,독거어르신,N,25167.56,1,1
201701,부산,03000008,S40101,차상위계층,기타,N,299937.77,13,12
201701,부산,03000008,S40101,차상위계층,한부모가정,N,355333.53,17,14
201701,부산,03000008,S40101,차상위계층,저소득가정,N,365877.21,14,14
201701,부산,03000008,S40101,차상위계층,재가장애인,N,571731.16,22,22
201701,부산,03000008,S40101,차상위계층,독거어르신,N,1216178.62,46,46
201701,부산,03000008,S40101,기초생활보장수급자,기타,N,772852.97,31,29
201701,부산,03000009,S40201,차상위계층,독거어르신,N,1236283.28,127,29
201701,부산,03000009,S40201,차상위계층,다문화가정,N,84680,4,2
201701,부산,03000009,S40201,차상위계층,결식아동,N,47122.04,3,2
201701,부산,03000009,S40201,기초생활보장수급자,노인부부가구,N,82686.04,7,3
201701,부산,03000009,S40201,기초생활보장수급자,청장년1인가구,N,118845.7,6,2
201701,부산,03000009,S40201,기초생활보장수급자,기타,N,1280209.12,126,30
201701,부산,03000009,S40201,기초생활보장수급자,한부모가정,N,2498051.04,230,56
201701,부산,03000009,S40201,기초생활보장수급자,한부모가정,Y,259942.03,21,6
201701,부산,03000009,S40201,기초생활보장수급자,조손가정,N,45600,1,1
201701,부산,03000009,S40201,기초생활보장수급자,저소득가정,N,2737207.57,266,64
201701,부산,03000009,S40201,저소득층,기타,N,122316.65,12,5
201701,부산,03000009,S40201,긴급지원대상자,결식아동,N,217560.09,23,6
201701,부산,03000009,S40201,기초생활보장수급자,저소득가정,Y,103369.04,7,3
201701,부산,03000009,S40201,기초생활보장수급자,재가장애인,N,6651188.48,246,64
201701,부산,03000009,S40201,기초생활보장수급자,재가장애인,Y,128568.03,11,3
201701,부산,03000009,S40201,기초생활보장수급자,소년소녀가장,N,194981.57,21,5
201701,부산,03000009,S40201,기초생활보장수급자,소년소녀가장,Y,10102.68,3,1
201701,부산,03000009,S40201,기초생활보장수급자,독거어르신,N,6032643.53,370,101
201701,부산,03000009,S40201,저소득층,한부모가정,N,85296.64,2,2
201701,부산,03000009,S40201,저소득층,저소득가정,N,25212.76,4,1
201701,부산,03000009,S40201,저소득층,재가장애인,N,312919.83,26,7
201701,부산,03000009,S40201,저소득층,부부중심가구,N,90788.29,7,1
201701,부산,03000009,S40201,기초생활보장수급자,다문화가정,N,40139.21,6,1
201701,부산,03000009,S40201,기초생활보장수급자,결식아동,N,314119.36,28,7
201701,부산,03000009,S40201,기초생활보장수급자,결식아동,Y,54531.28,4,1
201701,부산,03000009,S40201,긴급지원대상자,기타,N,133249.98,5,2
201701,부산,03000009,S40201,긴급지원대상자,한부모가정,N,205240.67,10,2
201701,부산,03000009,S40201,긴급지원대상자,저소득가정,N,143332.16,14,5
201701,부산,03000009,S40201,긴급지원대상자,재가장애인,N,65306.85,6,1
201701,부산,03000009,S40201,긴급지원대상자,독거어르신,N,69940,3,2
201701,부산,03000009,S40201,저소득층,소년소녀가장,N,33992.24,3,1
201701,부산,03000009,S40201,저소득층,독거어르신,N,5837984.32,47,13
201701,부산,03000009,S40201,저소득층,다문화가정,N,44869.19,4,1
201701,부산,03000009,S40201,차상위계층,노인부부가구,N,144297.5,12,3
201701,부산,03000009,S40201,차상위계층,기타,N,1168485.05,111,28
201701,부산,03000009,S40201,차상위계층,한부모가정,N,1582107.22,152,44
201701,부산,03000009,S40201,차상위계층,조손가정,N,236712.3,9,2
201701,부산,03000009,S40201,차상위계층,저소득가정,N,759233.16,72,16
201701,부산,03000009,S40201,차상위계층,재가장애인,N,1265389.22,110,28
201701,부산,03000009,S40201,차상위계층,재가장애인,Y,45160.78,6,2
201701,부산,03000002,S40301,차상위계층,독거어르신,N,3581425.87,290,90
201701,부산,03000002,S40301,기초생활보장수급자,저소득가정,N,1208873.87,86,27
201701,부산,03000002,S40301,기초생활보장수급자,저소득가정,Y,23959,3,1
201701,부산,03000002,S40301,기초생활보장수급자,재가장애인,N,1170707.64,82,25
201701,부산,03000002,S40301,기초생활보장수급자,재가장애인,Y,29145.47,3,1
201701,부산,03000002,S40301,기초생활보장수급자,독거어르신,N,2585696.32,255,79
201701,부산,03000002,S40301,기초생활보장수급자,독거어르신,Y,102186.94,11,4
201701,부산,03000002,S40301,긴급지원대상자,결식아동,N,373290.09,37,11
201701,부산,03000002,S40301,긴급지원대상자,독거어르신,Y,71827.33,9,3
201701,부산,03000002,S40301,긴급지원대상자,독거어르신,N,1621232.72,132,40
201701,부산,03000002,S40301,긴급지원대상자,소년소녀가장,N,27000,4,1
201701,부산,03000002,S40301,긴급지원대상자,재가장애인,N,435629.45,26,8
201701,부산,03000002,S40301,긴급지원대상자,저소득가정,Y,57400,6,1
201701,부산,03000002,S40301,긴급지원대상자,저소득가정,N,1302335.98,71,21
201701,부산,03000002,S40301,긴급지원대상자,한부모가정,Y,25089,3,1
201701,부산,03000002,S40301,긴급지원대상자,한부모가정,N,210489.43,21,7
201701,부산,03000002,S40301,긴급지원대상자,기타,N,69089,4,2
201701,부산,03000002,S40301,긴급지원대상자,노인부부가구,N,96800,2,1
201701,부산,03000002,S40301,기초생활보장수급자,결식아동,N,202452.45,26,6
201701,부산,03000002,S40301,저소득층,노인부부가구,N,32000,4,1
201701,부산,03000002,S40301,저소득층,기타,N,69386.22,8,2
201701,부산,03000002,S40301,저소득층,한부모가정,N,300409,21,8
201701,부산,03000002,S40301,저소득층,저소득가정,N,499029.92,36,11
201701,부산,03000002,S40301,저소득층,재가장애인,N,462680.85,12,5
201701,부산,03000002,S40301,저소득층,독거어르신,N,949974.67,79,25
201701,부산,03000002,S40301,차상위계층,노인부부가구,N,87572.44,8,3
201701,부산,03000002,S40301,차상위계층,부부중심가구,N,88821.85,5,2
201701,부산,03000002,S40301,차상위계층,기타,N,463306.71,37,13
201701,부산,03000002,S40301,차상위계층,한부모가정,N,5597568.39,377,125
201701,부산,03000002,S40301,차상위계층,저소득가정,N,3016765.41,202,56
201701,부산,03000002,S40301,차상위계층,저소득가정,Y,25741.45,4,1
201701,부산,03000002,S40301,차상위계층,재가장애인,N,1894365.09,138,44
201701,부산,03000002,S40301,차상위계층,외국인노동자,N,50739.86,5,2
201701,부산,03000002,S40301,차상위계층,소년소녀가장,N,153545.47,10,2
201701,부산,03000002,S40301,차상위계층,독거어르신,Y,24184.47,5,1
201701,부산,03000002,S40301,차상위계층,다문화가정,N,41650,3,1
201701,부산,03000002,S40301,차상위계층,결식아동,N,559253.27,43,14
201701,부산,03000002,S40301,기초생활보장수급자,노인부부가구,N,35300,5,1
201701,부산,03000002,S40301,기초생활보장수급자,부부중심가구,N,36000,2,1
201701,부산,03000002,S40301,기초생활보장수급자,청장년1인가구,N,32093.11,5,1
201701,부산,03000002,S40301,기초생활보장수급자,기타,N,72900,6,2
201701,부산,03000002,S40301,기초생활보장수급자,한부모가정,N,1845019.53,164,51
201701,부산,03000007,S48201,긴급지원대상자,결식아동,N,214994.14,9,9
201701,부산,03000007,S48201,차상위계층,재가장애인,N,271062.77,13,11
201701,부산,03000007,S48201,차상위계층,독거어르신,N,436374.21,23,17
201701,부산,03000007,S48201,차상위계층,결식아동,N,24000,1,1
201701,부산,03000007,S48201,기초생활보장수급자,기타,N,41461.5,4,2
201701,부산,03000007,S48201,기초생활보장수급자,한부모가정,N,452149.77,21,18
201701,부산,03000007,S48201,기초생활보장수급자,저소득가정,N,472296.67,23,18
201701,부산,03000007,S48201,기초생활보장수급자,재가장애인,N,659082.14,40,27
201701,부산,03000007,S48201,기초생활보장수급자,독거어르신,N,1587058.16,93,64
201701,부산,03000007,S48201,기초생활보장수급자,결식아동,N,144873.34,6,5
201701,부산,03000007,S48201,긴급지원대상자,기타,N,1732640.82,86,86
201701,부산,03000007,S48201,차상위계층,한부모가정,N,93799.23,4,4
201701,부산,03000007,S48201,차상위계층,기타,N,30960.82,1,1
201701,부산,03000007,S48201,저소득층,결식아동,N,40000,3,2
201701,부산,03000007,S48201,저소득층,독거어르신,N,485235.02,25,20
201701,부산,03000007,S48201,저소득층,소년소녀가장,N,24000,1,1
201701,부산,03000007,S48201,저소득층,재가장애인,N,234934.09,18,8
201701,부산,03000007,S48201,저소득층,저소득가정,N,86914.14,4,3
201701,부산,03000007,S48201,저소득층,한부모가정,N,62094.96,5,3
201701,부산,03000007,S48201,저소득층,기타,N,21000,2,1
201701,부산,03000007,S48201,차상위계층,저소득가정,N,101094.74,4,4
201701,부산,03000007,S48201,긴급지원대상자,한부모가정,N,778590.92,46,34
201701,부산,03000007,S48201,긴급지원대상자,한부모가정,Y,20000,1,1
201701,부산,03000007,S48201,긴급지원대상자,저소득가정,N,2117948.09,110,97
201701,부산,03000007,S48201,긴급지원대상자,재가장애인,N,1223413.15,66,51
201701,부산,03000007,S48201,긴급지원대상자,소년소녀가장,N,50960.82,3,2
201701,부산,03000007,S48201,긴급지원대상자,독거어르신,N,4436678.78,227,179
201701,부산,03000007,S48201,긴급지원대상자,독거어르신,Y,21666.66,2,1
201701,부산,03000007,S48201,긴급지원대상자,다문화가정,N,140120,7,7
201701,부산,03000001,S49001,긴급지원대상자,결식아동,N,5153912.58,1005,259
201701,부산,03000001,S49001,기초생활보장수급자,다문화가정,N,5570,3,2
201701,부산,03000001,S49001,긴급지원대상자,독거어르신,N,103232,5,2
201701,부산,03000001,S49001,긴급지원대상자,재가장애인,N,14240,7,2
201701,부산,03000001,S49001,긴급지원대상자,저소득가정,N,26031,10,2
201701,부산,03000001,S49001,긴급지원대상자,한부모가정,N,90000,1,1
201701,부산,03000001,S49001,기초생활보장수급자,결식아동,N,69401.22,23,4
201701,부산,03000001,S49001,저소득층,한부모가정,N,31961,11,2
201701,부산,03000001,S49001,저소득층,저소득가정,N,11590,7,1
201701,부산,03000001,S49001,저소득층,재가장애인,N,44339,18,3
201701,부산,03000001,S49001,저소득층,외국인노동자,N,18620,6,1
201701,부산,03000001,S49001,저소득층,소년소녀가장,N,32524.5,17,4
201701,부산,03000001,S49001,저소득층,독거어르신,N,39164,16,4
201701,부산,03000001,S49001,저소득층,다문화가정,N,13370,2,1
201701,부산,03000001,S49001,저소득층,결식아동,N,26990,9,1
201701,부산,03000001,S49001,차상위계층,한부모가정,N,151453.8,48,9
201701,부산,03000001,S49001,차상위계층,저소득가정,N,11431.77,8,2
201701,부산,03000001,S49001,차상위계층,재가장애인,N,77811,28,5
201701,부산,03000001,S49001,차상위계층,독거어르신,N,174701.34,76,13
201701,부산,03000001,S49001,기초생활보장수급자,기타,N,19911,10,2
201701,부산,03000001,S49001,기초생활보장수급자,한부모가정,N,1294424.54,289,55
201701,부산,03000001,S49001,기초생활보장수급자,저소득가정,N,1257044.31,199,43
201701,부산,03000001,S49001,기초생활보장수급자,재가장애인,N,855270.25,118,28
201701,부산,03000001,S49001,기초생활보장수급자,외국인노동자,N,21663,9,3
201701,부산,03000001,S49001,기초생활보장수급자,소년소녀가장,N,297707.34,66,15
201701,부산,03000001,S49001,기초생활보장수급자,독거어르신,N,2207542.26,363,92
201701,부산,03000010,S50101,기초생활보장수급자,한부모가정,N,1388759.91,343,87
201701,부산,03000010,S50101,저소득층,기타,N,104885.18,23,6
201701,부산,03000010,S50101,저소득층,한부모가정,N,140370.46,35,6
201701,부산,03000010,S50101,저소득층,저소득가정,N,114198.54,13,3
201701,부산,03000010,S50101,저소득층,재가장애인,N,49576.24,11,5
201701,부산,03000010,S50101,저소득층,소년소녀가장,N,9487.5,2,1
201701,부산,03000010,S50101,긴급지원대상자,결식아동,N,100980.23,16,5
201701,부산,03000010,S50101,긴급지원대상자,독거어르신,N,65499.43,12,4
201701,부산,03000010,S50101,긴급지원대상자,저소득가정,N,217985.66,42,12
201701,부산,03000010,S50101,긴급지원대상자,한부모가정,N,21600,4,1
201701,부산,03000010,S50101,긴급지원대상자,기타,N,315624.35,73,17
201701,부산,03000010,S50101,기초생활보장수급자,결식아동,N,129509.45,28,8
201701,부산,03000010,S50101,기초생활보장수급자,독거어르신,N,2091521.32,480,136
201701,부산,03000010,S50101,기초생활보장수급자,소년소녀가장,N,36228.88,5,2
201701,부산,03000010,S50101,기초생활보장수급자,외국인노동자,N,17395.24,3,1
201701,부산,03000010,S50101,기초생활보장수급자,재가장애인,N,1096042.07,263,70
201701,부산,03000010,S50101,기초생활보장수급자,저소득가정,N,878385.13,182,51
201701,부산,03000010,S50101,차상위계층,기타,N,48957.03,12,5
201701,부산,03000010,S50101,차상위계층,한부모가정,N,220926.58,51,13
201701,부산,03000010,S50101,차상위계층,저소득가정,N,150365.49,29,6
201701,부산,03000010,S50101,차상위계층,재가장애인,N,164972.96,40,12
201701,부산,03000010,S50101,저소득층,결식아동,N,13900,2,1
201701,부산,03000010,S50101,차상위계층,독거어르신,N,260495.82,69,18
201701,부산,03000010,S50101,차상위계층,결식아동,N,68020,18,5
201701,부산,03000010,S50101,기초생활보장수급자,기타,N,637869.24,149,40
201701,부산,03000010,S50101,저소득층,독거어르신,N,471816.12,123,31
201701,부산,03000005,S50701,저소득층,독거어르신,N,1143108.85,77,25
201701,부산,03000005,S50701,저소득층,외국인노동자,N,93285.45,7,2
201701,부산,03000005,S50701,저소득층,재가장애인,N,733864.51,44,16
201701,부산,03000005,S50701,저소득층,저소득가정,N,291854.58,16,6
201701,부산,03000005,S50701,저소득층,한부모가정,N,564168.87,42,12
201701,부산,03000005,S50701,저소득층,기타,N,35000,1,1
201701,부산,03000005,S50701,기초생활보장수급탈락자,결식아동,N,49605.8,4,1
201701,부산,03000005,S50701,기초생활보장수급탈락자,독거어르신,N,855043.6,56,18
201701,부산,03000005,S50701,기초생활보장수급탈락자,재가장애인,N,144495.36,9,3
201701,부산,03000005,S50701,기초생활보장수급탈락자,저소득가정,N,327648.78,22,7
201701,부산,03000005,S50701,기초생활보장수급탈락자,한부모가정,N,283239.77,19,6
201701,부산,03000005,S50701,긴급지원대상자,결식아동,N,402824.95,28,9
201701,부산,03000005,S50701,긴급지원대상자,독거어르신,N,718212.46,44,14
201701,부산,03000005,S50701,긴급지원대상자,외국인노동자,N,49634.59,3,1
